ResponseId,RespondantNumber,answer,reason
R_1LIDCDKpE6MvBhw,No19,Difficulty to reproduce accurately the in vivo phenotype,"Lack of facilities, resources, or expertise"
R_3Mri5JfDezagiOQ,No20,Do not use cell line models in my research,Professional role does not involve cell model studies or basic research
R_A5xJxjlGfjIeExP,No21,"Don't have a specific breast cancer model yet, but will consider ILC with other subsets like TNBC, etc","Lack of facilities, resources, or expertise"
R_2cd43eqkb5LyG7r,No22,don't work in ILC,"Lack of facilities, resources, or expertise"
R_3J9nHtQxmpiVzyz,No23,due to lack of finances,"Lack of facilities, resources, or expertise"
R_8pQAxOZSqkYUFAB,No24,"epidemiological research, mostly retrospective",Professional role does not involve cell model studies or basic research
R_a473UbDlSBxDSPn,No25,Focus on other sides,Research focus is elsewhere
R_aVtr7jo9g1S7cE9,No26,Focused on triple-negative breast cancer,Research focus is elsewhere
R_1rPppqNhHcLz15n,No27,focuses on invasive breast cancer,Research focus is elsewhere
R_1ELAURwhVhujp0B,No28,focusing on metastatic disease,Research focus is elsewhere
R_DesHvw1G9hquRjP,No29,have none,"Lack of facilities, resources, or expertise"
R_8oijVOuhVWr9Unn,No30,"Historical focus has been on TNBC, however we are now moving towards ER+ types",Research focus is elsewhere
R_2pYO8GoqhV8DIcu,No31,I am a clinician. I do not do basic science research. The only research I have been involved in is through the Lobular Breast Cancer Alliance.,Professional role does not involve cell model studies or basic research
R_3L0Sh6IgF172nGr,No32,I am a translational researcher,Professional role does not involve cell model studies or basic research
R_26exZmWO6YPKnq9,No33,i am more interested in subtypes of IDC,Research focus is elsewhere
R_8f8ofOHyfDHoO7D,No34,I am not a molecular biologist; I do not use cell models. In my epidemiological studies however I do distinguish between ILC and IDC (and mixed).,Professional role does not involve cell model studies or basic research
R_3R1SPMsuQbLcGI6,No35,I am not aware of reliable models,"Lack of facilities, resources, or expertise"
R_2BxkLI4dPG7dTn7,No36,I am not working on cell models.,"Lack of facilities, resources, or expertise"
R_1IfJDpojd30L7RM,No37,"I am not working with cell models, I'm a radiologist",Professional role does not involve cell model studies or basic research
R_2nP7xpbYaSkWTXH,No38,"I am very much focused on tissue based investigations in a translational setting, no in vivo or in vitro studies, but we have set a a lab recently for that",Professional role does not involve cell model studies or basic research
R_1j7Hn1EMOFlYyMu,No39,I am working mainly on formalin fixed-paraffin embedded cases. In addition I do not have facilities in preparing cell cultures.,Professional role does not involve cell model studies or basic research
R_1E5JIVFgchT3PKA,No40,I currently don't do in vitro research,Professional role does not involve cell model studies or basic research
R_1IhMK9wyCatgXyI,No41,I do not conduct these studies,Professional role does not involve cell model studies or basic research
R_3NIMfE0ZI8JLnVA,No42,I do not conduct those kinds of studies,Professional role does not involve cell model studies or basic research
R_1GTZS7Hk6K0Oeyb,No43,I do not control this aspect of the studies,Professional role does not involve cell model studies or basic research
R_eu2PDjMAiGaUzw5,No44,i do not do cell studies,Professional role does not involve cell model studies or basic research
R_2YlFjGYg1MVSAcQ,No45,I do not have ILC cell models.,Lack of ILC cell models
R_2EfLY9uzkes3KrC,No46,I do not have opportunity.,"Lack of facilities, resources, or expertise"
R_5dlRkIYZnA2pgtz,No47,I do not know,Other reasons
R_1P4Yam7bwXvkKn1,No48,I do not perform cell culture based research.,Professional role does not involve cell model studies or basic research
R_2P5yBRZ7OShqFI0,No49,I do not perform cell model studies.,Professional role does not involve cell model studies or basic research
R_2Y3AwDnWdoRiEXV,No50,I do not perform in vitro studies.,Professional role does not involve cell model studies or basic research
R_3nNTuOtz2HdWPST,No51,I Do not work with cell models,Professional role does not involve cell model studies or basic research
R_1lzRarPUE0RzCUh,No52,I don't do basic science research,Professional role does not involve cell model studies or basic research
R_2w0o9iIsyEr4pCj,No53,I don't have ILC cell lines. Also I don't know which cell line is suitable for ILC model.,Not aware of or familiar with ILC cell models
R_2QLCPz5Y9LEC8k7,No54,I don't work with cell models,"Lack of facilities, resources, or expertise"
R_2AL8UspDMXUx3V3,No55,I don't  work in this area.,Professional role does not involve cell model studies or basic research
R_2ZCQIMsBJW4obmX,No56,I don't do a lot of cell line model work.,Professional role does not involve cell model studies or basic research
R_1PZPTV7xHQ3VPE7,No57,I don't do basic research,Professional role does not involve cell model studies or basic research
R_W9uS9vRYZKI3Ovf,No58,I don't have a study,"Lack of facilities, resources, or expertise"
R_2AGXWoj9K5nR11Q,No59,I don't want to answer this question,Other reasons
R_1HhGhetlusTC55J,No60,"I have been focusing on other lobulat topics thus far. Or, maybe I do not really understand what you mean by ""cell models""",Other reasons
R_3MoN8P9g1YSo9NE,No61,I have never thought before about differentiation between IDC and ILC.,Other reasons
R_1LFK0Ws0Wyw4Ukl,No62,I have no functionnal studies at the moment. But I am studying the ILC specimens,Other reasons
R_30bL9b4qqkgyods,No63,I have not been involved in such research,"Lack of facilities, resources, or expertise"
R_3PjCSUR1x7hSQ2H,No64,I have not had the opportunity,"Lack of facilities, resources, or expertise"
R_3fxeBRyteOc7QqS,No65,I have not thought of the right idea yet working on it.,"Lack of facilities, resources, or expertise"
R_ymatgGjkttigMCZ,No66,I plan to. So far assumed not relevant.,Research or study still in planning or future stages
R_21zd7dDF8O0aDxN,No67,I primarily work on clinical data,Other reasons
R_3HS0hLYnGBo0HhT,No68,I work with tissue examples from patients with ILC and IDC.,Professional role does not involve cell model studies or basic research
R_b8A0ROwEqcOYhJn,No69,If I can find it I will include it.,Research or study still in planning or future stages
R_3kG0VAeRJ4xVkKL,No70,I'm a practicing pathologist. I'm not performing cellular experiments. My research work is closely linked to human samples and morphology.,Professional role does not involve cell model studies or basic research
R_3Dto3WukAaFaVSd,No71,im focusing on ILC at the momment,Research or study still in planning or future stages
R_1pGUGXsYH5aHGyx,No72,I'm in radiology,Professional role does not involve cell model studies or basic research
R_3JC9DY2tHjffIT2,No73,I'm not doing cell experiment.,Professional role does not involve cell model studies or basic research
R_2WPgaprKE4SpbS4,No74,In my experience there are no cell models specific for ILC,Professional role does not involve cell model studies or basic research
R_246iz9ioVwVwIzo,No75,In our studies we are evaluating genomic profile in all hystologies in Breast cancer,Professional role does not involve cell model studies or basic research
R_1HqVjYXoLa2CMv5,No76,It has never come up as a research topic for us,Research focus is elsewhere
R_3sBN3A19IgXFeai,No77,It has not been integral to my specialty yet,Research focus is elsewhere
R_2YsT5PGC2V6daIE,No78,"It simply has not been a past research focus of mine. In addition, I do not believe there are many well characterized ER+/PR+ ILC cell line or PDX models with which to conduct comparative studies.",Research focus is elsewhere
R_2Eis1tnfL7rB4RT,No79,It's not centrally relevant to my research focus and adding it in would add an additional variable to every condition essentially doubling the scope of the project which is too much right now,Research or study still in planning or future stages
R_qDGufpaiC596dFf,No80,It's never occurred to us to do so.,Research focus is elsewhere
R_1dzvankHApywtAf,No81,i've not working wit ILC yeath,Research or study still in planning or future stages
R_20Nalq0X6w3MMnA,No82,Just FFPE material,Research focus is elsewhere
R_ueMCDdTu2Z3xEnT,No83,"lack of adequate specimens, animal models","Lack of facilities, resources, or expertise"
R_1jIzfnMgaP40uOO,No84,Lack of experience,"Lack of facilities, resources, or expertise"
R_2UfJhNf74acWYmP,No85,lack of infrastructure and facility,"Lack of facilities, resources, or expertise"
R_vv2jkPij4SnwbkZ,No86,Limited model systems,"Lack of facilities, resources, or expertise"
R_2CN8DbfHkJL2el8,No87,Minimal access to wet-lab,"Lack of facilities, resources, or expertise"
R_1CfNT3bYxsxBD9E,No88,My current study is focused on lung cancer.,Research focus is elsewhere
R_3L22aBoMrYAU4Sh,No89,My research does not focus on ilc,Research focus is elsewhere
R_3kaDOLzbWDTvOax,No90,"My research focuses more on risk of invasive breast cancer following a diagnosis of lobular carcinoma in situ (LCIS), and the extent to which LCIS may be a physical precursor of ILC.",Research focus is elsewhere
R_3Gl9MgHB0ciqQPV,No91,My research is focused on developing general computational models and algorithms to study the mechanism of tumor development.,Research focus is elsewhere
R_1IhLAP4XMkM58AV,No92,"My research shall be funds limiting because it is self funded, therefore I like to explore other non invasive forms of atypical cells that can be exfoliated and studied. But if I get some fund support I may look into Invasive ductal carcinoma especially with Immunohistochemistry differentiation.",Research focus is elsewhere
R_2f1zXGjAuTNUk8Z,No93,My researches were about HER2-positive BC,Research focus is elsewhere
R_1lhqYAGFdvhz8t7,No94,My role in funded ILC research is translational pathology in nature: research analysis of human ILC samples. My basic science collaborators do include these models in their research.,Professional role does not involve cell model studies or basic research
R_PCKgj5yM2AZPZ5v,No95,My translational research does not involve cell models. I study biomarkers and work with translational/basic scientists to develop correlative studies in clinical trials with patients.,Professional role does not involve cell model studies or basic research
R_1OQ6LhIgdtXxXQ4,No96,n/a we do not have studies on cell models,Professional role does not involve cell model studies or basic research
R_1BQMDHEfhPksl3T,No97,no basic research,Professional role does not involve cell model studies or basic research
R_2WGzvc3iKnV1rci,No98,no cell model research,Professional role does not involve cell model studies or basic research
R_25yjPc7YWtb0b3s,No99,No cellular research at this time.,Professional role does not involve cell model studies or basic research
R_3qecJCWO9YU3m5H,No100,no comment,Other reasons
R_1mwTy8UCjdIBVOg,No101,no current research,Professional role does not involve cell model studies or basic research
R_a9N4SZx0HHtEk93,No102,No model studies,Professional role does not involve cell model studies or basic research
R_byJma08Hvhi6OI1,No103,No oportunity,"Lack of facilities, resources, or expertise"
R_PMvYoiNZYbM9zS9,No104,No opportunity,"Lack of facilities, resources, or expertise"
R_1r0Oxf3X7xyaMKS,No105,no opporunity,"Lack of facilities, resources, or expertise"
R_2dMRMzLgYSjsLyP,No106,"No resources, no expertise","Lack of facilities, resources, or expertise"
R_2zedJQ5JXFoaICV,No107,No technical means in our practice,"Lack of facilities, resources, or expertise"
R_egpeNO5gjUZFZKh,No108,Not a basic scientist,"Lack of facilities, resources, or expertise"
R_3pa0bBQnJVSZ5bQ,No109,Not a main focus of the lab,Research focus is elsewhere
R_8ffrr6hsBgM2LeN,No110,not as secondary end point,Research focus is elsewhere
R_UllUUXvQFeg5ms9,No111,not available,Lack of ILC cell models
R_3F22xbcdLRpnJ5n,No112,Not available,Lack of ILC cell models
R_27lOqpgDGA7k8Vi,No113,Not available.,Lack of ILC cell models
R_1dElGpr1CZajuOP,No114,Not aware of the right cell models,Not aware of or familiar with ILC cell models
R_1n8DRqRE5vCNDPO,No115,not aware of them and substantial heterogeneity may still exist among ILC models,Not aware of or familiar with ILC cell models
R_1LFKYvkqvxEQBuF,No116,"Not calling out ILC specifically in our study of ER responsive tumors. At this point, not using PDX models",Research focus is elsewhere
R_1nQ833meOjOzKrj,No117,Not conducting in vitro studies at this time.,Research focus is elsewhere
R_3Egu8686r9oakc2,No118,not considered yet,"Lack of facilities, resources, or expertise"
R_2XdE63eoc85u6aW,No119,not doing lab-based research,Professional role does not involve cell model studies or basic research
R_1BXHIe465Nl08PE,No120,not easily available,"Lack of facilities, resources, or expertise"
R_2wTY05kKiH7SM4M,No121,Not familiar with,Not aware of or familiar with ILC cell models
R_xzpbEbDE9VgmG9H,No122,Not familiar with these models,Not aware of or familiar with ILC cell models
R_5nKP07rdxhvQv4d,No123,Not field of my research,Research focus is elsewhere
R_2tlMXZld9AnpDNr,No124,Not in any study right now,"Lack of facilities, resources, or expertise"
R_1rDQxAwSD2bMUqK,No125,not involved in cell models,Professional role does not involve cell model studies or basic research
R_2chkutcF7Sewye8,No126,not many of them,"Lack of facilities, resources, or expertise"
R_3MRMcZBrBdfvdJK,No127,Not my focus.,Research focus is elsewhere
R_3FJtLPlIMOiV3pd,No128,Not quite relevant. Research is based on patient samples.,Research focus is elsewhere
R_1pL0jiybLkHMnNX,No129,not readily available,"Lack of facilities, resources, or expertise"
R_3qU8pLy2Yl6OcHe,No130,Not really focused on ILC,Research focus is elsewhere
R_1FhtiPjD3MB8rp6,No131,not really relevant to what I do directly.  Collaborators I work with do include them,Other reasons
R_26au2nDu5BgwA4n,No132,not relevant to my research,Other reasons
R_3fut3H7kCXP2KVe,No133,not the focus of my research,Research focus is elsewhere
R_2YkNr4nIqHUEy0K,No134,Not the main scope of the study,Research focus is elsewhere
R_1JLRywmsXBRpjfc,No135,Not understanding clearly the biological difference.,Not aware of or familiar with ILC cell models
R_byf3KHgpfU5XVst,No136,Not using cell models,Professional role does not involve cell model studies or basic research
R_3k7F6zq9NYV8X8h,No137,Not working with cell models,Professional role does not involve cell model studies or basic research
R_AtdMn2D7oYHOufT,No138,not working with ILC cell models,Research focus is elsewhere
R_2V2YOcqKj7T1kfi,No139,Notveasilyvavailable,"Lack of facilities, resources, or expertise"
R_003fcPKgZpdpPqN,No140,Now considering to include.,Research or study still in planning or future stages
R_dbZaTsEwVVoRD3P,No141,Only I work with human tissues,Professional role does not involve cell model studies or basic research
R_2hLG8QqkZAll0pb,No142,Only target for IDC,Research focus is elsewhere
R_2wtBwuCwwC61fMT,No143,Our studies involve human ILBC specimens.,Research focus is elsewhere
R_20PagW7NjaB7NnA,No144,Outside my field of research,Research focus is elsewhere
R_11Z1Za9cbVhCVdS,No145,Radiology is my field of interest,Professional role does not involve cell model studies or basic research
R_3QK70Mjmw8SNT23,No146,Research focused on other subjects but certainly an interesing field,Research focus is elsewhere
R_3lVMGnJHCQQX6qN,No147,Research is concentrating on other breast cancer subtypes. Studies contain ILC-like cell line model but not pure ILC models (eg UACC-3133). ILC models are not available in our cell culture bank (possibly due to historical research focus in otter areas).,Research focus is elsewhere
R_3I3HdCrf8ct68sH,No148,research isn't focused in that area,Research focus is elsewhere
R_1GHBpajcf6ghGUb,No149,"Studies are more focused on Genomic Profiles of Breast Cancer Luminal, HER2, TN",Research focus is elsewhere
R_2aII2MG1pNwinpJ,No150,Study TNBC.,Research focus is elsewhere
R_2TtNPgeCAqdQdCd,No151,"That's a good question. 
In our studies, we choose breast cancer cell models that belong to the different breast cancer subtypes that guide therapeutic decisions in the clinic (hormone receptor or HER2 positive or negative models). Currently, histological differences in the tumors (IDC or ILC) are not guiding the differential treatment of those tumors. I  think that's why we are not using representative models of ILC in our studies. 
However, I read articles showing differences between IDC and ILC and suggesting that ILC is a different entity that should be treated in the clinic differently.",Research focus is elsewhere
R_2fx2vlxdJX2HtkK,No152,The current models re limited,Lack of ILC cell models
R_2pWavpBCPT9h9OZ,No153,The current research direction is on the heterogeneity of HER-2 expression,Research focus is elsewhere
R_2afdovVWdrtxPto,No154,There are only a limited number of them and they are relatively difficult to work with to my knowledge.,Other reasons
R_1mEI8qIBvkx8E8n,No155,this is done in collaboration wih other parnters. Our lab do not use cell models directly.,Professional role does not involve cell model studies or basic research
R_2e2sqhStIYCn8Q5,No156,Too few TNBC ILC models.,Research focus is elsewhere
R_3PzUG5uqqcsNtuy,No157,try to work with ILC researchers in collaboration,Research or study still in planning or future stages
R_O2sGnTCLg5M4qpX,No158,Unavailability of Funding,"Lack of facilities, resources, or expertise"
R_2b0ZTn0nNaKthLG,No159,We are currently generating xenografts and organoids from our studies.,Professional role does not involve cell model studies or basic research
R_sXLfhSr0RRJvRtv,No160,We are trying to create new models from post mortem tissue donation samples,Professional role does not involve cell model studies or basic research
R_sL6pKmAZP4wnjtD,No161,We do not have access to the ILC cell lines in our core facilities,"Lack of facilities, resources, or expertise"
R_24pHzAkNZAJpz4x,No162,"We don't have appropriate models. If we knew what to use, we would be willing to include ILC models in our research.",Lack of ILC cell models
R_2bTQ12B5sTYbEUg,No163,"We have considered it for the future, but have not done it yet as we are focusing on other questions currently.",Research or study still in planning or future stages
R_2pQ64DJtkWvDMfD,No164,"We haven't gotten to it, but planning to.",Research or study still in planning or future stages
R_eKVMAJlp4GT8xHj,No165,We limit the use of cell models.,Professional role does not involve cell model studies or basic research
R_31L586cuyClRbam,No166,We mainly focus on blood biomarkers,Professional role does not involve cell model studies or basic research
R_3gZTAddXop5WGGs,No167,We need better labs for basic research.,"Lack of facilities, resources, or expertise"
R_3EcmmkIFQp3McZN,No168,"We study any tumor which metastasizes to bone and have not distinguished histologic subtypes. It appears that there are very few human cell lines of ILC. However, it would be very interesting to study these in bone metastases as very old literature show that loss of E-cadherin increases breast cancer bone metastasis.",Research or study still in planning or future stages
R_3plIWZAM9KqPJLl,No169,We use clinical samples,Professional role does not involve cell model studies or basic research
R_1H7z2K8U81p07Hw,No170,We use patient derived xenograft models instead.,Professional role does not involve cell model studies or basic research
R_1oehgDlpAvG1HXX,No171,We've not come to this step yet. We may including it later soon.,Research or study still in planning or future stages
Response ID,No172,Why are you not including ILC cell models in your studies?,Other reasons
R_1LTLdquoEaOKjF5,No173,Work on progress. Future directions,Research or study still in planning or future stages
R_3IWZlHLeTxG6kZO,No174,Working wih GEM models not cell lines.,Professional role does not involve cell model studies or basic research
