,Doc,Topic,Doc_ID,new_labels
37,Different views from initial surgeon and reconstruction surgeon with initial surgeon saying wait two years post Radium for reconstruction following Radium and plastic surgeon saying no need.Confusing for patient.,-1,37,Ambiguous
38,Difficult to detect l,10,38,Cancer detection and screening
39,"difficulty in diagnosing, differences between ILC and IDC,  possibility of long term recurrence",11,39,ILC unique features
40,"Difficulty to determine size, risks of lumpectomy with radiation",-1,40,Ambiguous
41,Difficulty to see it on scans,7,41,Cancer detection and screening
42,Discussion about bilateral mastectomy,2,42,Surgery
43,Discussion of what surgery would be best for ILC,11,43,ILC unique features
44,Discussion re bilateral mastectomy,2,44,Surgery
45,Doing chemo prior to surgery,1,45,Chemotherapy
46,Double mastectomy,2,46,Surgery
47,Everything,-1,47,Ambiguous
48,Everything,-1,48,Ambiguous
49,Excellent,3,49,ILC unique features
50,Explain the uniqueness of lobular and not just another hormone positive cancer,9,50,ILC unique features
51,Full mastectomy,2,51,Surgery
52,Great surgeon but handed out generic info on secondaries based on IDC,-1,52,Ambiguous
53,Grows in a line or web,3,53,ILC unique features
54,Growth of lobular,9,54,ILC unique features
55,Had 2nd surgery for clean margins,-1,55,Ambiguous
56,Having a Dmx,-1,56,Ambiguous
57,He was going to find more cancer than first expected because it wasn't all seen on all of the scans. That's common with ILC. My ILC moved from stage 1 to stage 3 with the size and with the lymph nodes involved bilaterally.,10,57,Cancer detection and screening
58,"He wouldn't biopsy my non-ILC breast because there was nothing to biopsy, according to him. I had it removed prophylactically anyway",-1,58,Ambiguous
59,Healing complications,5,59,Personalized treatment and mental care
60,How aggressive it is,10,60,Cancer detection and screening
61,"How different ILC presentation, as well as treatment, can be vs more common IDC",11,61,ILC unique features
62,How hard it is to detect,10,62,Cancer detection and screening
63,How ILC differs from Ductal,11,63,ILC unique features
64,How ILC does not necessarily make a lump,-1,64,Ambiguous
65,How ILC is different,11,65,ILC unique features
66,"How ilc is not a round lump, but can be a long spiderweb type formation",-1,66,Ambiguous
67,How it can metastise,8,67,Metastasis
68,How it grows,3,68,ILC unique features
69,"How it grows, hard to detect",3,69,ILC unique features
70,How it spreads so finely it's not always seen That I could have both typesThat it doesn't give an accurate result with the onco type test,-1,70,Ambiguous
71,How it spreads to diff,-1,71,Ambiguous
72,How it was different,3,72,ILC unique features
73,how it's difficult to detect,10,73,Cancer detection and screening
74,How it's tentacle-like and sneaky. Had to do my own research.,10,74,Cancer detection and screening
75,How long was it growing?,3,75,ILC unique features
76,How the mix of ILC and ice were made up,11,76,ILC unique features
77,How to check reoccurrence,0,77,Recurrence
78,How to ensure clear margins with ILC.,-1,78,Ambiguous
79,How to monitor reoccurances,0,79,Recurrence
80,How to recognize recurrance,0,80,Recurrence
81,"I am a nurse practitioner and studied ILC after dx, surgeon gave incorrect info about contra lateral breast cancer",12,81,Influence of breast density
82,I am triple negative and I don't understand if I should be seeking a different treatment,5,82,Personalized treatment and mental care
83,I did not have surgery (diagnosed MBC de novo),-1,83,Ambiguous
84,I had a lumpectomy with positive margins.  I wish he had said imaging frequently underestimates ILC size.  I then had a double mastectomy.,-1,84,Ambiguous
85,I had a micro met in a sentinel node I wish I had discussed this further,-1,85,Ambiguous
86,I had breast reduction after lumpectomy and prior to radiation. Wish we would have talked more about any unique risks with ILC if any,12,86,Influence of breast density
87,I had lobular breast cancer,9,87,ILC unique features
88,I had to ask what type of breast cancer,12,88,Influence of breast density
89,"I had to fight for mastectomy, AFC",2,89,Surgery
90,I have 2 positive lymph nodes out of 5. I would have asked for radiation or to remove more nodes.,-1,90,Ambiguous
91,I know nothing about it only about my own breast cancer which is HER2 positive and in the lymph nodes,12,91,Influence of breast density
92,"I know that lobular breast cancer is not easily seen on a mammogram-this concerns me as after five years, there are no follow up checks",-1,92,Ambiguous
93,I was diagnosed in 1989. My surgeon said I might have been the first ILC he had ever seen.,11,93,ILC unique features
94,I was told I had IDC until I requested my oncology report and discovered it myself.  I was treated no differently to an IDC patient,-1,94,Ambiguous
95,"I wasn't really told anything, was treated the same as ductal",-1,95,Ambiguous
96,I wish more details of what to look for in terms of reoccurance. I no and that he shared information with me芒鈧 But I don't think it was enough.,-1,96,Ambiguous
97,"I wish she believed me when I  said that despite no defined tumor on mammo, my breast was changing.",12,97,Influence of breast density
98,"I wish she had told me: 1) lobular margins are hard to find because I wound up having two lumpectomies because the margins were never clear, so the actual size of the cancer was never calculated and I eventually had a bilateral mastectomy with immediate reconstruction; 2) I wish I had known the surgical options bettter. I chose lumpectomies because I thought the only alternative was taking the abdominal flap which was more surgery than I wanted and I did not really have sufficient fat for.",-1,98,Ambiguous
99,I wish that the diagnosis had been explained better,-1,99,Ambiguous
100,"I would have asked her why only a sentinal node biopsy with a large tumor. I also think she should have recommended a double mastectomy, with reasons why, rather than leaving the choice to me fully. (I did do the double, which was good, because there was lobular cancer in situ in the other.)",-1,100,Ambiguous
101,I'd have liked to be offered bilateral mastectomy rather than single,2,101,Surgery
102,Icl monitoring,10,102,Cancer detection and screening
103,ILC frequently does not form a lump but is instead diffuse,-1,103,Ambiguous
104,"ILC is a distinct for of breast cancer, it is difficult to detect early, surgery is often not successful first time. Difficult to monitor after surgery. Why they removed only 1 sentinel node (had micro metastases)?",-1,104,Ambiguous
105,ILC MRI often understates tumor size,10,105,Cancer detection and screening
106,ILC occurs bilaterally with more frequency than IDC; it is more difficult to get clear margins with lumpectomy in ILC.,-1,106,Ambiguous
107,Ilc should be monitored by mri,10,107,Cancer detection and screening
108,ILC unique characteristics,11,108,ILC unique features
109,Imaging techniques that are better for ILC detection,10,109,Cancer detection and screening
110,Immediate double mastectomy,2,110,Surgery
111,Importance of breast density and how if dense a mammogram may miss ILC,12,111,Influence of breast density
112,Importance of MRI,7,112,Cancer detection and screening
113,Increased chance of recurrence,0,113,Recurrence
114,Insidious way it can hide,10,114,Cancer detection and screening
115,Insisted on mastectomy and was talked out of it,2,115,Surgery
116,It can recur in other breast,12,116,Influence of breast density
117,It doesn't necessarily form a lump,-1,117,Ambiguous
118,It is  usually bilateral,-1,118,Ambiguous
119,"it spreading, and follow up monitoring. I had to fight for ultra sound with mamogramme",12,119,Influence of breast density
120,"It spreads in ""sheets"" rather than masses and there was a good chance of the disease being more widespread than appeared on scans.",-1,120,Ambiguous
121,It was never explained that lobular behaves differently. I would like to have heard this from the professionals.,9,121,ILC unique features
122,It was probably bigger than scans say,-1,122,Ambiguous
123,"It wasn't invasive, caught early and wouldn't be back. But tested yearly since",7,123,Cancer detection and screening
124,It's called the sneaky cancer for a reason and to LOOK at my scans carefully,-1,124,Ambiguous
125,Its different from IDC,-1,125,Ambiguous
126,"It's sneaky,  avoids detection",10,126,Cancer detection and screening
127,Its unique characteristics,3,127,ILC unique features
128,Just the different types of Brest cancer and what to look out for.,-1,128,Ambiguous
129,"Later recurrence pattern, what the risk factors are having LSIS.",0,129,Recurrence
130,LCIS,11,130,ILC unique features
131,Likelihood of bilateral recurrence,0,131,Recurrence
132,Likelihood of ilc in other breast,12,132,Influence of breast density
133,Likelihood of reoccurrence  and surgical options that reduce risk of reoccurrence long term for ILC specifically.,11,133,ILC unique features
134,Limitations of screening,7,134,Cancer detection and screening
135,Lobular and,9,135,ILC unique features
136,Long term pain with dmx,-1,136,Ambiguous
137,Longer post op followup,0,137,Recurrence
138,Look for seeding outside normal matesctomy margins,-1,138,Ambiguous
139,Lumpectomy not likely to be successful,-1,139,Ambiguous
140,lymphadema symptoms; that it is lifelong; treatable but not curable,-1,140,Ambiguous
141,mastectomy,2,141,Surgery
142,Mastectomy v lumpectomy,2,142,Surgery
143,Mastectomy vs lumpectomy,2,143,Surgery
144,Mastectomy vs Lumpectomy instead of researching all on my own,2,144,Surgery
145,"Meaning of positive margins left behind in SMX, pre-radiation",-1,145,Ambiguous
146,Metastasis to other parts of the body,8,146,Metastasis
147,Metastatic unique areas,8,147,Metastasis
148,Monitoring /scans going forward. To be told it was lobular in person.,9,148,ILC unique features
149,monitoring for recurrence,0,149,Recurrence
150,More about decision making based on possibility of recurrence,0,150,Recurrence
151,More about how lobular tumours are shaped in your body because I didn't have a huge lump,9,151,ILC unique features
152,More about ilc,11,152,ILC unique features
153,More about lobular cancer,9,153,ILC unique features
154,"More about potential side effects eg scar wounds not healing, 'dog ears', timescales for recovery",6,154,Endocrine therapy
155,More detail about how to recognise if it happens again and about mri option,7,155,Cancer detection and screening
156,more explained,3,156,ILC unique features
157,More extensive tissue pathology,-1,157,Ambiguous
158,more info on ILC,11,158,ILC unique features
159,More information about total removal of lymphnodes,-1,159,Ambiguous
160,More options in surgery,-1,160,Ambiguous
161,"Most of   what I have  learned about  ILCA  I have learned  from  what  I have  read about it post  diagnosis. I have  used  this  knowledge to  better communicate  with  surgeon,  oncologists,  radiologist, and  gynocologists, PT's  that I  have  incountered  since  diagnosis.I  have  read  extensively  about  Pleomorphic  lobular  carcinoma  since diagnosis and  appreciate  the  fact  that  my  background  as  a  retired  biology  teacher  has  enable me to  understand  what  I  am reading  and  question  and  advocate  accordingly  with  each  specialty  listed  below.  When I  entered  treatment  I  knew  I would  be  receiving  standard of  care  at that  point in time and  other  than asking  for  genetic  testing  for  inheritable  genes  related to  breast  cancer  accepted  protocols  ordered.    As  I progressed thru  treatments and follow  ups  I  asked  questions  based on what  information I  personally  read about  vs.  what  they told  me.  I  requested  MRI  and  follow up  3 D mammograms  ( l due to  dense breasts),  sought consult  with  Gynocologis,  questioned  about  lack of  genomic  tumor  testing  due  to lymph node  involvement  noted  at   right  mastectomy.y",-1,161,Ambiguous
162,MRI better to determine multifocal,7,162,Cancer detection and screening
163,"MRI pre operative scans during chemotherapy and before surgery (use of US and Mammo missed surgically important t activity, extending planned surgery GREATLY",7,163,Cancer detection and screening
164,Multi focal nature,3,164,ILC unique features
165,"My sentinel node biopsy was conducted at the start of my surgery, and the initial pathology report said the node was clear so no more nodes were taken.  A week later, the more detailed biopsy showed there was cancer in the sentinel node.  I had to decide then whether to go back and have an axillary node dissection.  Since then, I have talked to 5 - 6 women with ILC who had the same thing happen.  If I'd known, I would have had the SNB done a week before the breast surgery.",-1,165,Ambiguous
166,"My surgeon did explain lobular was less aggressive, but didn't fully explain how it likes to recur later and in GI tract or abdomen",9,166,ILC unique features
167,N/a,-1,167,Ambiguous
168,need for a different surgical intervention?,-1,168,Ambiguous
169,Need for MRI with Breast Cancer hx and very dense breasts,12,169,Influence of breast density
170,New symptoms to look out for,8,170,Metastasis
171,Nil - well covered,-1,171,Ambiguous
172,"Not easy to detect, FES PET CT are better but they dint do that",7,172,Cancer detection and screening
173,Not sure,-1,173,Ambiguous
174,not sure,-1,174,Ambiguous
175,Nothing,10,175,Cancer detection and screening
176,Nothing,10,176,Cancer detection and screening
177,nothing,10,177,Cancer detection and screening
178,Nothing,10,178,Cancer detection and screening
179,Nothing,10,179,Cancer detection and screening
180,Nothing,10,180,Cancer detection and screening
181,Nothing he was good and explained how it grows,3,181,ILC unique features
182,"nothing, I was already autodidact at that moment",-1,182,Ambiguous
183,Odds of recurrence in other breast,12,183,Influence of breast density
184,Okd not needed anymore,-1,184,Ambiguous
185,"oncotype and lobular, margins, MRI",9,185,ILC unique features
186,option to have a dmx to be fully flat,-1,186,Ambiguous
187,Options for DMX,-1,187,Ambiguous
188,Options for mastectomy,2,188,Surgery
189,Options for reconstruction,-1,189,Ambiguous
190,Options such as full masteco,2,190,Surgery
191,Outcomes and prognosis and sites for metasteses,8,191,Metastasis
192,Permanent Numbness after surgery. Scar tissue problems.,-1,192,Ambiguous
193,Personalized treatment,5,193,Personalized treatment and mental care
194,possibility of bilateral disease (I made the decision to do BMX on my own after researching),-1,194,Ambiguous
195,"Possibility that it wouldn't all show on PET / scans, and there could be surprises during BMX",-1,195,Ambiguous
196,Possible bi lateral diagnosis,-1,196,Ambiguous
197,possible larger size of cancer than initially diagnosed on mammo and US ; agreeing to have MRI (as I requested but wasw talked out of by surgeon) no need for ALND and goind for radiation rather,-1,197,Ambiguous
198,pre op chemotherapy not indicated,1,198,Chemotherapy
199,pre surgery MRI,7,199,Cancer detection and screening
200,Problems detecting,10,200,Cancer detection and screening
201,Propensity for multifocal tumors,-1,201,Ambiguous
202,Rates of recurrence; treatment option of a double mastectomy,2,202,Surgery
203,Recovery time,-1,203,Ambiguous
204,Recurrance,0,204,Recurrence
205,Recurrence,0,205,Recurrence
206,Recurrence and how it is different to ductal.,-1,206,Ambiguous
207,Recurrence in other breast,12,207,Influence of breast density
208,Recurrence rate and potential of doing double mastectomy,2,208,Surgery
209,Red flags to look out for recurrence,0,209,Recurrence
210,Refused surgery,-1,210,Ambiguous
211,remove healthy breast and / or ovaries ?,-1,211,Ambiguous
212,Reoccurance in other breast,12,212,Influence of breast density
213,Rescission rates with lobular breast cancer,9,213,ILC unique features
214,Response to chemo. Lymphedema,-1,214,Ambiguous
215,Review of pathology report in detail,-1,215,Ambiguous
216,Risk of bowel obstruction with ILC metastasis to GI/peritoneal spaces.,-1,216,Ambiguous
217,Risk of mets,-1,217,Ambiguous
218,Robert Piorkoski,-1,218,Ambiguous
219,Screening,7,219,Cancer detection and screening
220,Screening indications,7,220,Cancer detection and screening
221,Screening protocol reasoning,-1,221,Ambiguous
222,She was fine and informative,-1,222,Ambiguous
223,She was good and was the one that suggested radiation and mastectomy,-1,223,Ambiguous
224,Should have insisted he get clear margins; they felt could treat with radiation as was a small area,4,224,Radiation therapy
225,Should other breast have been removed,12,225,Influence of breast density
226,Sneaky to get clear margins,-1,226,Ambiguous
227,Specifics about recurrence sites/symptoms,8,227,Metastasis
228,"Spread locations, imaging issues",7,228,Cancer detection and screening
229,Spread to contralateral breast is more common than ductal.,12,229,Influence of breast density
230,Spread to other breast,12,230,Influence of breast density
231,"Spread, symptoms watch",8,231,Metastasis
232,"Surgeon only explained operation and kept on telling me there was no need to treat the cancer any differently than NST/IDC. Except that I got an MRI to establish the actual size. He followed the Dutch guidelines. Growpattern, subtype, chance of recurrence, age of tumor, non of these topics were answered by surgeon.",-1,232,Ambiguous
233,Surgery options,-1,233,Ambiguous
234,Surgical choices in relation to ILC's unique characteristics.,11,234,ILC unique features
235,Surgical margins,-1,235,Ambiguous
236,Surgical options,-1,236,Ambiguous
237,Talk about the differences and explain things better,3,237,ILC unique features
238,tendency to be bilateral so I could opt for bilateral mastectomy instead of unilateral,2,238,Surgery
239,That a dmx would have been better than a smx - because it's so hard to detect ILC,-1,239,Ambiguous
240,That I got it all doesn't apply to lobular,9,240,ILC unique features
241,That an initial mri should be done prior to deciding on lumpectomy or mastectomy,7,241,Cancer detection and screening
242,That an MRI should have been done pre-op so I did not need 2 lumpectomies with dodgy borders,7,242,Cancer detection and screening
243,"That because it's lobular, we won't know the true size until after the surgery, which may impact the stage and treatment options.",9,243,ILC unique features
244,That cancer can recur in scar tissue after a mastectomy,2,244,Surgery
245,That i shoud have mastectomy,2,245,Surgery
246,That I would lose nipple sensitivity due to severance of nerves and that I would lose so much of my breasts.,12,246,Influence of breast density
247,That I would need chemotherapy,1,247,Chemotherapy
248,That ILC CAN BE MILTIFICAL AND BILATERAL,11,248,ILC unique features
249,that ILC can be much larger than shown on imaging,10,249,Cancer detection and screening
250,That ILC can be multi focal and in both breast,12,250,Influence of breast density
251,That ILC can be multifocal and in both breasts.,12,251,Influence of breast density
252,That ILC can metastasize to unique places,-1,252,Ambiguous
253,"That ILC could be multifocal, and how that might impact the choice for a lumpectomy",-1,253,Ambiguous
254,That ILC doesn't show up well with scans,10,254,Cancer detection and screening
255,That ILC has a larger propensity than IDC to be bilateral,11,255,ILC unique features
256,That ILC is often bigger than seen on imaging,10,256,Cancer detection and screening
257,That ILC may not form palpable lumps. Skin sparing mastectomy leaves a residue of breast tissue,12,257,Influence of breast density
258,"That ILC pre op scans can we wildly innacurate in determining the span and size of the  ILC tumours, frequently leading to mx rather than lumpectomy",10,258,Cancer detection and screening
259,That ILC shows up differently and is hard to detect and likely to spread to lymph nodes because it is not caught.,-1,259,Ambiguous
260,That it can recur in mastectomy breasts - they told be it could not and recused to scan me.,2,260,Surgery
261,That it cannot be cured through surgical means,-1,261,Ambiguous
262,That it could reoccur,0,262,Recurrence
263,That it has unique metastatic sites,8,263,Metastasis
264,"that it is difficult to detect, then certainly opted for amputation instead of breast conserving",12,264,Influence of breast density
265,"That it is difficult to find on mammogram (didn't show) and appears smaller on ultrasound than it is (2 cm on ultrasound, 5.1 cm actual). That an MRI would be useful (also have dense breasts - 3). Am now getting MRI as follow up but that is more because I am Chek2.",12,265,Influence of breast density
266,That it is multi-focal and it's much harder to get clear margins,-1,266,Ambiguous
267,That it often occurs bilaterally and is difficult to image,-1,267,Ambiguous
268,"That it seldom recurres, the ki67 vas 4,9",-1,268,Ambiguous
269,"That it spreads like cobwebs, no lumps",-1,269,Ambiguous
270,That it would be difficult to get clear margins and therefore not eligible for radiation,4,270,Radiation therapy
271,That it's good to get a baseline MRI. That sometimes a second surgery is needed if you don't get clear margins,7,271,Cancer detection and screening
272,That it's not necessarily a lump,-1,272,Ambiguous
273,That lobular cancer can metastasise to different places and present differently to ductal.,9,273,ILC unique features
274,That mastectomy was probably going to be the better option over lumpectomy due to multi centric multi focal nature of ILC,2,274,Surgery
275,That Oncotype Dx or MammaPrint May have let me know more info about my survival and expected disease recurrence,-1,275,Ambiguous
276,that size is misleading due to way it grows,3,276,ILC unique features
277,That taking only 3 nodes could cause lyphedema,-1,277,Ambiguous
278,That the ILC cells could be in all breast tissue,12,278,Influence of breast density
279,That the MRI often does not show whether you have positive lymph nodes,7,279,Cancer detection and screening
280,That the true size of tumour can't be assessed until surgery.,-1,280,Ambiguous
281,That there are different subtypes of cancer and not 'one treatment fits all',-1,281,Ambiguous
282,"The 10 year plan and how extensive, or not, the annual check ups are.",0,282,Recurrence
283,the chances of a lumpectomy being successful might be lower with ILC; that it does not reliably show up on imaging,-1,283,Ambiguous
284,The difference between ILC & other breast cancers. Pathology results. Future diagnostic tests & potential risks,12,284,Influence of breast density
285,The difference in ILC and LCIS,11,285,ILC unique features
286,The difficulty of getting negative margins with lumpectomies with ILC,-1,286,Ambiguous
287,The difficulty of spotting ILC by mammo alone hence delayed diagnosis,12,287,Influence of breast density
288,The extent of the lumpectomy needed and was it met,-1,288,Ambiguous
289,The extreme difficulty of detection in imaging.  I wish she wouldn't have acted so sure that there wasn't any cancer in my lymph nodes based on pre-surgical imaging and the surgery itself.  I was stunned that it was in my lymph nodes and think it reflected poorly on my surgeon's knowldege of how sneaky lobular can be.,-1,289,Ambiguous
290,The fact that ILC may be more prone to recurrence many years later,11,290,ILC unique features
291,The higher recurrence after 5 years,0,291,Recurrence
292,The increased need for multiple excisions for clean margins,-1,292,Ambiguous
293,The likelihood of a contralateral breast cancer.,12,293,Influence of breast density
294,The mastectomy did not mean I could not have a recurrence,2,294,Surgery
295,The nature of ILC,11,295,ILC unique features
296,the need for such a radical surgery,-1,296,Ambiguous
297,The operation procedure,-1,297,Ambiguous
298,The option of having radiation therapy.,4,298,Radiation therapy
299,The risk of having a tumor bigger than what was visible on imagery,-1,299,Ambiguous
300,The side effects of surgery,6,300,Endocrine therapy
301,"The sneaky nature of  ILC, and how it is difficult to detect on routine mammograms.",12,301,Influence of breast density
302,"The sneaky nature of Lobular cancer, a PROPER discussion of what surgery is recommended. I was basically left to my own devices, and I made decisions based on the research I threw my self into, yet I very much wish that everything was explained to me. My situation was handled POORLY! I was not given standard treatment of care. Also, I was told repeatedly that the cancer would not be found in my lymph nodes. At the time of surgery, the doctor did not see the cancer in my lymph nodes. One week later I received a phone call around 9:30 at night telling me that cancer was found. I was then informed that they probably would not give me radiation. The surgeon says that she normally goes back in for more lymph nodes, but she thought that she had gotten enough. I had no idea about going back for more lymph nodes, it was not discussed at a proper time, or ever again with the surgeon, and I was suffering with a terrible infection and seroma when I was told. I had mentioned the pain I suffered and inquired several times if this was normal, to be told it was. It was not. I had an infection from day one. I had to FIGHT for radiation and mentally have suffered in fear of not having had enough lymph nodes removed.",9,302,ILC unique features
303,"The surgeon told me afterward that the LCIS had invaded surrounding tissues but he still called it LCIS v ILC. My other breast has LCIS. So this has been a quandary, especially as to how I should be aware to recurrence in the right and occurrence in the left.",12,303,Influence of breast density
304,The type of ILC,11,304,ILC unique features
305,The unique biological growth pattern of ILC,11,305,ILC unique features
306,The unique formation,3,306,ILC unique features
307,The unique growth pattern and hence thickening sympton,3,307,ILC unique features
308,the weblike characteristics of ILC,11,308,ILC unique features
309,They really just constantly says it isn't really treated differently maybe because I was stage 1,-1,309,Ambiguous
310,"Tissue sample may appear normal, but still have ilc",-1,310,Ambiguous
311,Told me nothing not even the names of my cancer types. Had to ask,-1,311,Ambiguous
312,Told to expect spread to other breast,12,312,Influence of breast density
313,Treatment choices,5,313,Personalized treatment and mental care
314,Triple neg ILC,11,314,ILC unique features
315,Type of surgery,-1,315,Ambiguous
316,"Types of ilc, long range recurrance monitoring  strategies",-1,316,Ambiguous
317,Typical reccurence/ best type of scans for ILC going forward,10,317,Cancer detection and screening
318,Unique metastasis sites and symptoms,8,318,Metastasis
319,"unique metastic routes, needing different treatment vs. ductal",-1,319,Ambiguous
320,Unique pattern and how difficult it is to scan/ possibly being just as effective to radiate nodes.,7,320,Cancer detection and screening
321,Uniqueness of ILC and how tumor structures are different,-1,321,Ambiguous
322,Unsure - self-informed,-1,322,Ambiguous
323,"Usually bilateral, typically margins aren't cleared, tumor could be larger than what scan shows",-1,323,Ambiguous
324,"Value of MRI. My surgeon denied the value of an MRI, and barely looked at the results from an MRI I paid for out of pocket.",7,324,Cancer detection and screening
325,Various surgeries that were available as treatment even though I would have to be referred out of facility for them. The need for MRI and followed biopsies for other suspicious lesions,7,325,Cancer detection and screening
326,Way of growing,3,326,ILC unique features
327,What about my dense breasts and the other side?  I don't have confidence in mammograms,12,327,Influence of breast density
328,What is ILC?,11,328,ILC unique features
329,What it looks like,-1,329,Ambiguous
330,What it meant to have both ILC and DCIS.,11,330,ILC unique features
331,What recurrence signs to look out f9t,0,331,Recurrence
332,"What should I be aware of, especially when checking my breast. I would have like not to hear that ILC is not as bad as IDC.",12,332,Influence of breast density
333,"What they do during surgery to make sure, that the whole tumor is removed, even though it's diffucult to see/feel the real size of a lobular tumor (mine was'nt removed completely, althoug I had a skin and nipplesparing mastectomy and half a year later an additional ""silicone breast conserving"" surgery was necessary)",9,333,ILC unique features
334,What to look for,0,334,Recurrence
335,What to look for in reoccurrence,0,335,Recurrence
336,Where it could go from here,0,336,Recurrence
337,"Whether mastectomy would be the best option from the start, not a lumpectomy. My cancer returned locally in less than six months. I had lack of clear margins (LCIS) but was told it didn't matter. It returned as invasive -5 tumours.",2,337,Surgery
338,"whether or not toe extra the lymphoid glands (he did not offer, this, I had to find it myself)",-1,338,Ambiguous
339,"Why didn't you describe ILC beyond ""it's a sneaky caner""?",11,339,ILC unique features
340,why i couldn't have an immediate reconstruction and options for reconstruction in terms of how they performed the mastectomy,2,340,Surgery
341,Why initial biopsy was reported as ductal.,-1,341,Ambiguous
342,Why it came back,0,342,Recurrence
343,Why it presents differently & grows differently,3,343,ILC unique features
344,Why just a single mastectomy. What to look for in the future. What chances of lymphoedema .,2,344,Surgery
345,Why mass was so much larger than indicated by mri,-1,345,Ambiguous
346,Why mastectomy vs lumpectomy,2,346,Surgery
347,Why she wanted to remove the whole breast for ILC,12,347,Influence of breast density
348,would a double mastectomy help with future recurrence or is having a lumpectomy enough?,2,348,Surgery
349,Would have opted for double mastectomy at outset. Would also have had more clarity on lymph node removal,2,349,Surgery
350,"Written literature explaining ILC, how unique it was , also more open conversation about surgical options. I felt pushed for mastectomy .",2,350,Surgery
351,Yes,3,351,ILC unique features
352,Yes,3,352,ILC unique features
353,You should have a double mastectomy,2,353,Surgery
354,(nothing - she knew what there was to know about lobular),9,354,ILC unique features
355,1st Diagnosis: How likely is it to return.,-1,355,Ambiguous
356,Menopausal symptoms mask & mimic it.,6,356,Endocrine therapy
357,"AI better than Tamoxifen for ILC, benefit of chemotherapy in which cases?",6,357,Endocrine therapy
358,"Efficacy of chemo, radiation and hormone suppression for lobular vs. ductal carcinoma",9,358,ILC unique features
359,All the items I just entered NO for.,-1,359,Ambiguous
360,Anything. None outside the surgeon even mentioned ILC.,-1,360,Ambiguous
361,How important ALs are as treatment for recurrence but also about the side effects,6,361,Endocrine therapy
362,What to look for in the future ie: lobular has different metastasis locations and what to look for,9,362,ILC unique features
363,"Difference in chemo benefit; unique metastatic sites; symptoms, including unusual symptoms, of recurrence",8,363,Metastasis
364,the efficiency of chemo and hormonal therapy on ILC relatively to IDC,1,364,Chemotherapy
365,Oncotype validity and reliability for ILC,11,365,ILC unique features
366,how lobular can be difficult to detect in scans,9,366,ILC unique features
367,Distant reoccurence symptoms,8,367,Metastasis
368,lobular cancer can metastasize to unique locations,9,368,ILC unique features
369,opportunity for MRI screening,7,369,Cancer detection and screening
370,Everything! Won't even acknowledge differences with ILC,11,370,ILC unique features
371,Treatment,5,371,Personalized treatment and mental care
372,"Sites of recurrence, especially those specific to ILC, and how it would manifest",11,372,ILC unique features
373,Success of chemo om ILC,1,373,Chemotherapy
374,"Chemo effectiveness, no mammaprint. AI vs tamoxifen",6,374,Endocrine therapy
375,Alternatives to chemo,1,375,Chemotherapy
376,Recurrence risk. What to watch out for.,0,376,Recurrence
377,Alternative dosages for Tamoxifen,6,377,Endocrine therapy
378,Value of chemotherapy,1,378,Chemotherapy
379,Differences between lobular and ductal - I have read more than I've been told,9,379,ILC unique features
